target,images,lat,lon,admin1,admin2
Dupas_Ethiopia,8,9.10405,38.66801,Dupas,Ethiopia
Kampala_Uganda,8,0.315017,32.590669,Kampala,Uganda
Pucaurquillo_Peru,8,-3.260767,-71.99269,Pucaurquillo,Peru
El_Nino_Brazil,8,-2.6082,-60.1999,El Nino,Brazil
Grand_Canyon_AZ,7,36.1069406,-112.1152587,Grand Canyon,AZ
Mall_of_America_MN,7,44.854865,-93.242215,Mall of America,MN
Tembe_Brazil,6,-2.684511,-48.273701,Tembe,Brazil
Jadfir_Ibn_Munaykhir_Yemen,6,15.8891007,44.932735,Jadfir Ibn Munaykhir,Yemen
Bora_Bora_French Polynesia,5,-16.528432,-151.768806,Bora Bora,French Polynesia
Bungoma_Kenya,5,0.56789,34.51887,Bungoma,Kenya
DiffaNord_Niger,5,13.378902,12.690149,DiffaNord,Niger
Helen_Palau,5,3.069522,131.839222,Helen,Palau
Jerico_Peru,5,-8.26009,-75.067676,Jerico,Peru
Masisea_Peru,5,-8.607497,-74.314273,Masisea,Peru
Mimami_Hiyoshi_Kaizan_Philippine Sea,5,23.5,141.935,Mimami Hiyoshi Kaizan,Philippine Sea
Samburu_strip_UNKNOWNLOCATION,5,,,Samburu strip,UNKNOWNLOCATION
Afrin_Syria,5,36.741118,36.947212,Afrin,Syria
Seed_Tanzania,5,-8.76352,34.59511,Seed,Tanzania
Cyrene_Libya,4,32.804631,21.850164,Cyrene,Libya
Hermosillo_Mexico,4,29.196065,-111.650243,Hermosillo,Mexico
Kabelawa_Niger,4,14.05455,12.9975,Kabelawa,Niger
Puerto_Maldonado_Peru,4,-12.592782,-69.195358,Puerto Maldonado,Peru
Rocky_Mountain_National_Park_CO,4,40.3427932,-105.6858276,Rocky Mountain National Park,CO
Sinjar_Iraq,4,36.326522,41.852422,Sinjar,Iraq
South_Loreto_Peru_UNKNOWNLOCATION,4,,,South Loreto Peru,UNKNOWNLOCATION
Angola_Area_UNKNOWNLOCATOIN,3,,,Angola Area,UNKNOWNLOCATOIN
Cape_Town_South Africa,3,-33.924054,18.424203,Cape Town,South Africa
Death_Valley_CA,3,36.5053891,-117.0815965,Death Valley,CA
Del_Amo_Fashion_Center_CA,3,33.832368,-118.352782,Del Amo Fashion Center,CA
Fukushima_Japan,3,38.44576,141.476568,Fukushima,Japan
Pulau_Padang_II_Malaysia,3,1.13406,102.305659,Pulau Padang II,Malaysia
Ma_in_Yemen,3,16.13636,44.8037,Ma in,Yemen
Kurokamicho_Japan,2,31.5833,130.6833,Kurokamicho,Japan
Gloucester_MA,2,42.61057,-70.6551,Gloucester,MA
Mayawana_Persada_Indonesia,2,-6.170874,106.813131,Mayawana Persada,Indonesia
Kenya_UNKNOWNLOCATION,2,,,Kenya,UNKNOWNLOCATION
Kilifi_Kenya,2,-3.501974,39.898009,Kilifi,Kenya
Nineveh_Iraq,2,36.354029,43.168799,Nineveh,Iraq
Ramtha_Jordan,2,32.593448,35.956214,Ramtha,Jordan
Serengetti_Tanzania,2,-2.029598,34.774633,Serengetti,Tanzania
Sichuan_Forest_China,2,30.520556,102.912222,Sichuan Forest,China
Sumatra_Indonesia,2,3.904005,96.38436,Sumatra,Indonesia
Taleqan_Afghanistan,2,36.735991,69.534381,Taleqan,Afghanistan
Tamshiyacu_Peru,2,-4.001506,-73158807,Tamshiyacu,Peru
Yosemite_CA,2,37.9006,-119.539,Yosemite,CA
Adindo_II_UNKNOWNLOCATION,1,,,Adindo II,UNKNOWNLOCATION
Adindo_III_UNKNOWNLOCATION,1,,,Adindo III,UNKNOWNLOCATION
Azaz_Syria,1,36.682139,37.19359,Azaz,Syria
Hobet_Mine_WV,1,38.091965,-81.982311,Hobet Mine,WV
Kaohsiung_Taiwan,1,38.258578,-81.617369,KD Mine,WV
KD_Mine_WV,1,,,Mali,UNKNOWNLOCATION
Mali_UNKNOWNLOCATION,1,2.333627,37.993855,Marsabit,Kenya
Marsabit_Kenya,1,41.63679,-70.9135,New Bedford,MA
New_Bedford_MA,1,4.388327,6.251372,Niger Delta,Nigeria
Niger_Delta_Nigeria,1,,,Peru oil palm plantation,UNKNOWNLOCATION
Peru_oil_palm_plantation_UNKNOWNLOCATION,1,,,Peru selective logging,UNKNOWNLOCATION
Peru_selective_logging_UNKNOWNLOCATION,1,,,Peru windfall,UNKNOWNLOCATION
Peru_windfall_UNKNOWNLOCATION,1,-20.139027,57.472176,Port Louis,Mauritius
Port_Louis_Mauritius,1,37.230808,-81.549011,Red Fox Surface Mine,WV
Red_Fox_Surface_Mine_WV,1,33.298583,38.657,Rubkan,Syria
Rubkan_Syria,2,0.599901,37.529092,Samburu,Kenya
Samburu_Kenya,1,40.688997,-80.952851,Seven Ranges,OH
Seven_Ranges_OH,1,,,Sri Lanka Area,UNKNOWNLOCATION
Sri_Lanka_Area_UNKNOWNLOCATION,1,32.28118753,36.8383639,Deir al Kahf,Jordan
Deir_al_Kahf_Jordan,1,34.75006,40.7201,Dura Europos,Syria
Dura_Europos_Syria,1,0.682981,34.185933,Tororo,Uganda
Tororo_Uganda,1,31.442871,-114.395287,Vaquita Refuge,Mexico
